ID,PID,Text
1120,1120_2,"In my world of special events, we all always want the same thing, for the event to be successful and for the client to be happy (and at the end, to hurry up and go to bed)."
1298,1298_0,"""When working with fellow interns, we would often motivate and encourage each other through idea generation and adaptation."
352,352_0,For one small project we were working on
1326,1326_0,"While working on my project my nursery manager came around and told me how good of a job I was doing with the plants because I would go and probe each plant before watering to make sure that it was dry enough to water.
"
72,72_3,"At first she was reluctant to have a first-year intern handle such a large task, but was convinced when I showed her my rough draft plan and explained how I knew what would be best to go in the manual because of my experience going through onboarding as an intern."
1325,1325_1,"To initiate a conversation and highlight all the different outcomes and parameters, I requested a meeting for the Pneumatics group and listed a number of questions to be asked."
221,221_0,"""During my internship, I took lead of the Control Documentation team for new programs and co-operatively led the cross functional team in an effectively managing their individual schedule to meet my target deadline hassle free""
"
1049,1049_0,Thanks to my experience over the summer
483,483_0,"""I have given a motivational speech to my peers while working in a very hot, miserable portion of the day where we needed to transport hundreds of gallons of water by hand."
1122,1122_0,"""This pretty much happened anytime I assist a photographer on a shoot."
389,389_2,We are adding more people and changing some of our processes.
698,698_0,"""In bi-weekly lab meetings with our mentor, my colleague and I gave project updates."
133,133_1,"In order to clean out a lot of the now empty pens, especially in House 2, we had to pull together the staff members and take each of their ideas on how to efficiently clean the space."
635,635_0,"""I was in charge of each project I was assigned, which shows a large amount of leadership""
"
571,571_0,"I participated in weekly meetings in the office where I was constantly leading discussion about different topics.
"
826,826_1,Some people in the group had differing opinions on who they should hire.
888,888_2,"Through the discussion of our varying ideas, we came up with a plan to meet our common goals as a department.""
"
1138,1138_3,"My leadership definitely aided in the effectiveness of this campaign and I am proud of all the success that my coworkers achieved.""
"
877,877_0,My supervisor [mentor] consistently kept up with how each one of her employees were doing personally and with their work.
84,84_3,"My supervisor was able to ask another group member to share their rubric so that they could come up with their own rubric for their challenges.""
"
1218,1218_0,"""We helped get a political candidate on the ballot for a position."
269,269_1,"For example, for our team research project I proposed that we should discuss how we would want to document the computer vulnerabilities."
154,154_1,"Then, in communicating the results of the study and my recommendations to my superiors, I helped Parking achieve its goal of most efficiently using the spaces we already have.""
"
407,407_2,I recently was elected as the Vice President of Marketing which allows me to create a marketing team that will help me throughout the year.
426,426_0,I didn't necessarily gain leadership from this internship
329,329_3,This included feedback on our new training model.
650,650_0,"""I was privileged to sit in on several team meetings this semester, and I thought that every individual on my team did a good job of recognizing the strengths of their coworkers."
1343,1343_0,"""Working everyday in a subset office of the Clemson Abroad office was enjoyable because I was able to be working very closely with the 2 other full-time employees in my team."
693,693_0,In a Monday meetings we express new ideas.
1117,1117_1,"In these meetings we discuss how our mentees are doing and learn academic and life strategies to pass along to them.
"
855,855_1,"Sometimes I'll ask them the reason why they want to do a certain thing, or sometimes I'll just ask them for more information, etc."
104,104_1,"I communicated their accomplishments to the outlet heads so that they could see that we were a resource for them to use.""
"
1052,1052_1,"and so I challenged one of my colleagues to break his usual record sales for the week.
"
41,41_1,"For one event we were managing, a special donor event held in Raleigh, NC, I was tasked with the job of calling several people to see if they were planning on attending."
793,793_1,"Being able to tell the stories of individuals who share different beliefs, values, and goals is important for showcasing what each individual offers to Clemson."
1155,1155_0,"""Throughout my internship, I was responsible for engaging the rest of the Directors of CEDC."
891,891_3,"I used past manager guidelines to develop my training style which is more employee driven, after initial information has been given."
965,965_0,"""One time in the warehouse, the warehouse manager brought everyone together and spoke to them about a huge Lowe's order that had to be sent out that day."
988,988_0,"""Our team is very well-organized."
1053,1053_3,I also included a question that allowed students to suggest ideas to us about what they wanted not only for the alumni banquet but for the department as a whole.
488,488_0,I have led the other interns in putting up the marketplace store.
377,377_13,[Mentor] recently purchased a few cows of his own and plans to use these new rotational grazing methods.
1347,1347_0,"""Working with volunteers at the Career Fair, I was looked up to as a leader because of my knowledge that I had of where supplies were, information employers needed to know, how to handle certain situations, and how things were supposed to be set up at the Career Fair."
176,176_4,", she put me on a project that was more computer science intensive than the what most of her students work on.""
"
860,860_0,"My supervisor and other colleagues worked on different aspects of the same project and got done with multiple projects in just 2 months .
"
1081,1081_4,"I aligned the objective of getting the """"study abroad experience"""" out to the freshmen engineers by giving my personal experience along with the broader organization of the Study Abroad Office's presentation.""
"
984,984_1,"During these meeting my mentor allows myself and the other intern to present and discuss our ideas for ways to promote the office and gain more clients.
"
708,708_1,They were scared the new area would only be attractive to men and no women would use it.
1006,1006_1,"I think one important characteristic for someone who believes that have qualities of being a leader, is encouraging others around you to criticize you or your work."
989,989_4,"For example, one of the interns was a mechanical engineering major so they got the topic pertaining to machinery."
